state_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_totalstate_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_total24,GUJARAT,491,Valsad,Tahsil-ValsadVillage-Malvan,18,9,15,7,5,54,22,7,34,11,11,0,85,139
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-ThasgamTh,112,25,0,0,0,137,122,77,332,127,114,0,772,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-GundMangl,31,2,0,0,1,34,34,45,62,35,11,0,187,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Farona,50,9,0,0,0,59,85,33,142,74,71,0,405,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Lankarchey,32,6,0,1,0,39,99,135,221,138,62,3,658,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Umba,0,1,0,0,0,1,1,1,2,0,0,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Nagmakusar,41,1,0,0,4,46,57,49,154,31,37,1,329,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Parkachik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Rangdum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-TresPone,62,10,0,0,0,72,212,146,519,69,2,0,948,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Saleskot,39,22,5,0,0,66,58,101,214,77,48,2,500,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Kanor,23,8,0,0,0,31,65,81,153,123,49,0,471,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
